id,favorite_count,retweet_count,created_at
711947394921971712,0,0,Mon Mar 21 16:07:40 +0000 2016
711946250434654212,0,0,Mon Mar 21 16:03:08 +0000 2016
711957153787973632,0,0,Mon Mar 21 16:46:27 +0000 2016
711948896839204864,2,0,Mon Mar 21 16:13:39 +0000 2016
711954856978690050,6,4,Mon Mar 21 16:37:20 +0000 2016
711961696223383552,2,0,Mon Mar 21 17:04:30 +0000 2016
711949873285693440,5,0,Mon Mar 21 16:17:31 +0000 2016
711961527645908992,3,1,Mon Mar 21 17:03:50 +0000 2016
711946307934392320,0,0,Mon Mar 21 16:03:21 +0000 2016
711951836790456320,2,1,Mon Mar 21 16:25:19 +0000 2016
711951743899140096,3,4,Mon Mar 21 16:24:57 +0000 2016
711958728161906688,0,0,Mon Mar 21 16:52:43 +0000 2016
711962105058988032,2,0,Mon Mar 21 17:06:08 +0000 2016
711991921741209602,10,2,Mon Mar 21 19:04:36 +0000 2016
711985833851506689,1,0,Mon Mar 21 18:40:25 +0000 2016
711988555698950145,1,0,Mon Mar 21 18:51:14 +0000 2016
711987511296274432,4,2,Mon Mar 21 18:47:05 +0000 2016
711965665477787649,1,0,Mon Mar 21 17:20:16 +0000 2016
711986988996534272,0,0,Mon Mar 21 18:45:00 +0000 2016
711963071833448448,3,0,Mon Mar 21 17:09:58 +0000 2016
711988735227744256,1,0,Mon Mar 21 18:51:57 +0000 2016
711992813387288576,3,0,Mon Mar 21 19:08:09 +0000 2016
711962503178129409,2,0,Mon Mar 21 17:07:43 +0000 2016
711987540362801152,0,1,Mon Mar 21 18:47:12 +0000 2016
711967626793095173,0,0,Mon Mar 21 17:28:04 +0000 2016
711986383510835200,7,3,Mon Mar 21 18:42:36 +0000 2016
711985473934139392,9,0,Mon Mar 21 18:38:59 +0000 2016
711990811102044160,6,1,Mon Mar 21 19:00:12 +0000 2016
711962452640923648,5,1,Mon Mar 21 17:07:30 +0000 2016
711964361481269248,2,0,Mon Mar 21 17:15:06 +0000 2016
711965978100248576,3,0,Mon Mar 21 17:21:31 +0000 2016
711962442318807040,10,5,Mon Mar 21 17:07:28 +0000 2016
711991519029297153,4,1,Mon Mar 21 19:03:00 +0000 2016
711974520957984770,1,0,Mon Mar 21 17:55:28 +0000 2016
711992302428758016,2,3,Mon Mar 21 19:06:07 +0000 2016
711964056618336262,1,0,Mon Mar 21 17:13:53 +0000 2016
711990270896672768,2,0,Mon Mar 21 18:58:03 +0000 2016
711987595417411584,3,1,Mon Mar 21 18:47:25 +0000 2016
711963014866415616,3,2,Mon Mar 21 17:09:45 +0000 2016
711969135983403008,1,0,Mon Mar 21 17:34:04 +0000 2016
711962334206386178,1,1,Mon Mar 21 17:07:02 +0000 2016
711989289500868608,1,1,Mon Mar 21 18:54:09 +0000 2016
711985739760738306,2,0,Mon Mar 21 18:40:03 +0000 2016
711991689116852225,5,0,Mon Mar 21 19:03:41 +0000 2016
711966962796994560,5,1,Mon Mar 21 17:25:26 +0000 2016
711967299326967809,0,0,Mon Mar 21 17:26:46 +0000 2016
711991030589947904,3,0,Mon Mar 21 19:01:04 +0000 2016
711964712821334016,0,0,Mon Mar 21 17:16:29 +0000 2016
711969804270247936,1,0,Mon Mar 21 17:36:43 +0000 2016
711963429926350848,0,0,Mon Mar 21 17:11:23 +0000 2016
711986838487982080,2,0,Mon Mar 21 18:44:25 +0000 2016
711970565171482625,0,0,Mon Mar 21 17:39:45 +0000 2016
711964719846821889,0,0,Mon Mar 21 17:16:31 +0000 2016
711979281090412546,0,1,Mon Mar 21 18:14:23 +0000 2016
711980873218920449,0,0,Mon Mar 21 18:20:42 +0000 2016
711967748901842948,2,0,Mon Mar 21 17:28:33 +0000 2016
711964048703643648,3,1,Mon Mar 21 17:13:51 +0000 2016
711989917954355200,0,0,Mon Mar 21 18:56:39 +0000 2016
711965431444078592,0,0,Mon Mar 21 17:19:21 +0000 2016
711985401250983936,1,0,Mon Mar 21 18:38:42 +0000 2016
711968989279170564,1,0,Mon Mar 21 17:33:29 +0000 2016
711987849415921664,1,0,Mon Mar 21 18:48:26 +0000 2016
711968320468037633,0,0,Mon Mar 21 17:30:49 +0000 2016
711986848315232256,3,1,Mon Mar 21 18:44:27 +0000 2016
711986806519017472,0,1,Mon Mar 21 18:44:17 +0000 2016
711973647217352705,3,1,Mon Mar 21 17:51:59 +0000 2016
711963516844908546,2,0,Mon Mar 21 17:11:44 +0000 2016
711970986061484033,0,1,Mon Mar 21 17:41:25 +0000 2016
711990551734722560,1,0,Mon Mar 21 18:59:10 +0000 2016
711990554154954752,0,0,Mon Mar 21 18:59:10 +0000 2016
711963170349289473,4,0,Mon Mar 21 17:10:22 +0000 2016
711987900666109952,4,4,Mon Mar 21 18:48:38 +0000 2016
711968566015356933,9,3,Mon Mar 21 17:31:48 +0000 2016
711986672712323074,0,0,Mon Mar 21 18:43:45 +0000 2016
711967840341872640,1,0,Mon Mar 21 17:28:55 +0000 2016
711967228980109313,6,4,Mon Mar 21 17:26:29 +0000 2016
711970488528936961,6,0,Mon Mar 21 17:39:26 +0000 2016
711983563764203520,3,0,Mon Mar 21 18:31:24 +0000 2016
711962557234319360,3,0,Mon Mar 21 17:07:55 +0000 2016
711969362228305920,4,1,Mon Mar 21 17:34:58 +0000 2016
711962339524747264,0,0,Mon Mar 21 17:07:04 +0000 2016
711982821087129600,1,0,Mon Mar 21 18:28:27 +0000 2016
711964913346879488,1,0,Mon Mar 21 17:17:17 +0000 2016
711963466404245504,2,0,Mon Mar 21 17:11:32 +0000 2016
711987000404914177,4,1,Mon Mar 21 18:45:03 +0000 2016
