id,favorite_count,retweet_count
589254107279437825,3,0
590063919852552192,2,0
589410262576410625,0,0
590043482955390976,0,0
589711348940087298,1,0
589351153764327425,1,0
590068094099398656,2,1
589706998675025920,2,0
590075356264161280,0,0
590069529474117633,2,2
590066690005827584,5,0
589711824280518656,0,0
590067158274727936,2,0
590071345670709248,0,0
590074924259270656,0,1
589364635603701760,0,0
589679825163530240,5,0
589136329868517376,1,0
589793113490776064,21,37
589484774055620608,0,0
590071994969886720,1,0
589859204233568256,7,2
589747741049430016,7,0
589352983349059584,2,0
589368045434437632,2,0
589769631100968960,0,0
590029235445702656,3,2
590039954480300032,4,0
589337165580107777,3,0
590070727526735873,1,1
590067826477629440,1,0
590069635409666048,2,0
589351629897519104,3,0
590036530917466112,0,0
589755594510311424,0,0
589352338416148480,3,1
590064430773317632,1,0
590070461905707008,3,0
589861580076150785,1,0
589792648862507010,5,0
590068724310401024,0,0
589404782021967872,3,1
589411232274325504,0,0
589890393791139841,3,0
590064016191578112,1,0
590069148174147584,0,0
589492566091034625,0,0
590071599363203072,1,0
589861058501808128,1,0
590074933398626304,2,0
589797325385633792,0,0
590067585003167744,6,1
589353930259333120,1,0
589352511850598400,1,0
590059417263022080,0,0
590063964488359936,13,4
590067940155858946,3,0
589728601186140160,0,0
589871652630097920,0,0
590073862433406976,0,0
590063546723131392,2,0
590071678983610368,0,0
589771961926078465,5,0
590049362711019520,0,0
590072212046098433,0,0
590075206506586112,0,0
590072681514590208,1,1
589457453382774785,0,0
590069650060345345,1,2
590074215098884096,3,1
590067655324872704,0,0
590067704280829952,1,0
589130824274092032,3,0
590071214057644032,0,0
589412911996624896,0,0
590075478343581696,1,0
589359798862348288,2,0
590063485842812928,2,0
590058997409042432,0,0
589413425954029568,5,0
590036356207923200,0,0
590069299554955264,0,0
590075523881107456,3,2
590067361950072832,0,1
590065768789868544,0,0
590064404479217664,0,0
589368937445531648,1,0
589777923613323265,0,0
589841743379562498,0,0
589443233291194369,2,0
590075355446300672,2,0
589538629665554432,2,0
589836946656141314,10,1
590064590433738754,4,0
589502560093995008,0,0
589411368656318464,0,0
590072532658561024,4,2
